Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
1/7/08,Perth,2.7,18.8,0,0.8,9.1,ENE,20,NA,E,0,7,97,53,1027.6,1024.5,2,3,8.5,18.1,No,0,No
2/7/08,Perth,6.4,20.7,0,1.8,7,NE,22,ESE,ENE,6,9,80,39,1024.1,1019,0,6,11.1,19.7,No,0.4,No
3/7/08,Perth,6.5,19.9,0.4,2.2,7.3,NE,31,NA,WNW,0,4,84,71,1016.8,1015.6,1,3,12.1,17.7,No,1.8,Yes
4/7/08,Perth,9.5,19.2,1.8,1.2,4.7,W,26,NNE,NNW,11,6,93,73,1019.3,1018.4,6,6,13.2,17.7,Yes,1.8,Yes
5/7/08,Perth,9.5,16.4,1.8,1.4,4.9,WSW,44,W,SW,13,17,69,57,1020.4,1022.1,7,5,15.9,16,Yes,6.8,Yes
6/7/08,Perth,0.7,15.9,6.8,2.4,9.3,NNE,24,ENE,NE,4,7,86,41,1032,1029.6,0,1,6.9,15.5,Yes,0,No
7/7/08,Perth,0.7,18.3,0,0.8,9.3,N,37,NE,NNE,15,13,72,36,1028.9,1024.2,1,5,8.7,17.9,No,0,No
8/7/08,Perth,3.2,20.4,0,1.4,6.9,NNW,24,NE,N,9,13,58,42,1023.9,1021.1,6,5,10.2,19.3,No,8,Yes
9/7/08,Perth,9.8,19.5,8,1.2,2.5,ESE,31,NA,ESE,0,9,97,64,1026.4,1024.9,7,6,12.1,18.7,Yes,4.6,Yes
10/7/08,Perth,11.2,20.4,4.6,2.8,1.7,NNW,46,NE,NNE,19,11,79,50,1020.2,1014,7,7,13.4,19,Yes,2.6,Yes
11/7/08,Perth,13.4,17.1,2.6,2.6,4.2,SW,54,SW,SW,26,13,63,77,1014.7,1015.2,4,7,15.4,14.8,Yes,4.4,Yes
12/7/08,Perth,7.9,17.3,4.4,2.2,5.4,SSW,19,N,SSW,7,9,99,59,1019,1018.7,6,7,9.6,16.2,Yes,0.2,No
13/7/08,Perth,5.3,18.8,0.2,1,2.3,N,17,NE,W,7,7,96,63,1025.1,1024.1,7,6,9.5,17.2,No,0,No
14/7/08,Perth,7.9,19.7,0,0.2,6.5,NE,31,NE,N,11,15,86,41,1026,1021.9,6,5,11.7,18.7,No,0,No
15/7/08,Perth,9,17.1,0,2.2,0.8,NNE,43,N,W,22,15,62,90,1010.4,1008.1,5,8,15.8,14.9,No,24,Yes
16/7/08,Perth,10.2,17.1,24,1.8,6.7,SW,44,SW,WSW,19,13,76,54,1013.8,1014.8,6,3,13.2,15.9,Yes,2.6,Yes
17/7/08,Perth,6.7,16.9,2.6,1.2,3.9,WSW,46,NE,NNW,9,9,87,75,1015.1,1010.1,2,7,10.5,14.4,Yes,20.6,Yes
18/7/08,Perth,10.4,17.9,20.6,2,3.2,NW,76,NW,W,22,30,57,50,1002.3,1002.2,5,6,16.8,13.9,Yes,15.2,Yes
19/7/08,Perth,3.3,14.3,15.2,1.8,9.4,SSE,37,NA,S,0,17,95,49,1022.9,1023.1,1,1,8,13.9,Yes,0,No
